feature,shap_importance
임대보증금_multiply_총세대수,0.4363034061698308
총면적,0.2798257842190632
면적74_85,0.07937576870178034
건물형태,0.06525454414149716
임대보증금,0.0614932101859727
면적74_85_sum_총면적,0.06086925713360868
준공연도,0.042761780730066194
총세대수,0.029994622077326054
면적51_59,0.02368680375074955
면적46_51_sum_총면적,0.02358404475539232
면적59_74,0.02324120418280205
임대료,0.017339275833507226
면적26_38,0.007858078305509374
면적38_46_sum_총면적,0.006335190771946415
면적38_46,0.003944663483487333
면적59_74_sum_총면적,0.0034700290367453424
면적46_51,0.0024346740538683173
총면적_diff_면적59_74,0.0020675468742148303
난방방식,0.0014852203296767622
면적127_139,0.0
총면적_sum_총세대수,0.0
면적17_26,0.0
면적85_127_sum_총면적,0.0
총면적_diff_면적127_139,0.0
총면적_diff_면적85_127,0.0
승강기설치여부,0.0
면적85_127,0.0
