feature,weight
intercept,-1.641616275812525e-15
총세대수,0.09941204272541494
준공연도,0.12468358283373111
건물형태,-0.11257690208778749
난방방식,0.03770477233092757
승강기설치여부,0.07837534651176185
총면적,0.785378573497861
면적17_26,-0.12741153122368143
면적26_38,-0.032264191580511005
면적38_46,-0.008568228083302829
면적46_51,-0.04121857770785106
면적51_59,-0.03636263266629159
면적59_74,0.01665870301746318
면적74_85,0.030267655324540187
면적85_127,-0.29270738895215365
면적127_139,0.23111692886565843
임대보증금,0.24873898750284615
임대료,-0.26398316445284176
